ARM,ETR,Deficit,Excedente,PRECIPITACAO,TEMPERATURA,ETo
2.948176758041195e-07,2.864433973032667e-08,6.954342923488879,0.0,0.0,28.9,6.954342952133218
2.611958216303449e-07,3.362185417377459e-08,9.08150371846062,0.0,0.0,29.6,9.081503752082474
2.33432930858405e-07,0.6000000277628907,8.42816986836505,0.0,0.6,29.2,9.02816989612794
2.099996072063528e-07,2.3433323652052212e-08,7.9341855942017645,0.0,0.0,29.4,7.934185617635088
1.894987800021429e-07,2.050082720420989e-08,7.70423051085688,0.0,0.0,29.8,7.704230531357707
1.7681739311133444e-07,1.268138689080846e-08,5.194879774342217,0.0,0.0,29.2,5.194879787023604
1.7264985233710018e-07,3.800000004167541,1.7888965554942011,0.0,3.8,27.8,5.588896559661742
1.6615639935589573e-07,0.500000006493453,2.8752044162649035,0.0,0.5,26.0,3.3752044227583564
3.828033743903,3.171966422253399,0.0,0.0,7.0,27.0,3.171966422253399
3.6793966218000906,0.14863712210290947,2.8215512256383066,0.0,0.0,26.1,2.970188347741216
3.3565340139026656,0.7228626078974251,6.5651283308801505,0.0,0.4,28.6,7.287990938777575
2.966692999387839,0.3898410145148268,8.869736524826306,0.0,0.0,29.6,9.259577539341134
2.6135256786148813,0.35316732077295754,9.152911659141623,0.0,0.0,29.5,9.50607897991458
2.489215755479229,0.12430992313565215,3.530623171991815,0.0,0.0,27.3,3.654933095127467
2.338389540208966,0.1508262152702633,4.537066895576029,0.0,0.0,28.8,4.687893110846292
2.4929448683594195,4.106504671849546,0.0,0.0,4.26106,25.4148,4.106504671849546
16.523840699487764,1.3170041688716574,0.0,0.0,15.3479,24.4061,1.3170041688716574
18.345402912295754,2.3789077871920092,0.0,0.0,4.20047,24.9582,2.3789077871920092
28.781031287915525,1.66267162438023,0.0,0.0,12.0983,24.5156,1.66267162438023
39.10494529015392,1.2662859977616012,0.0,0.0,11.5902,24.6021,1.2662859977616012
40.33397205351613,1.3423632366377947,0.0,0.0,2.57139,23.8995,1.3423632366377947
41.223032763551025,1.7007892899651051,0.0,0.0,2.58985,24.1746,1.7007892899651051
43.51398576780957,1.8692969957414485,0.0,0.0,4.16025,24.3261,1.8692969957414485
41.96391025050639,1.8457295173031847,1.1703566714500622,0.0,0.295654,24.8184,3.016086188753247
39.188702660562754,2.7752075899436335,2.3564020087654898,0.0,0.0,25.4474,5.131609598709123
36.36425377052943,2.824448890033324,2.785720232708986,0.0,0.0,26.1072,5.61016912274231
33.96529149311754,2.46653897741189,2.7195693291154415,0.0,0.0675767,25.6816,5.1861083065273315
31.983528872732293,2.127660620385247,2.5270961704104797,0.0,0.145898,25.354,4.654756790795727
34.729380735466926,2.8202181372653685,0.0,0.0,5.56607,24.4755,2.8202181372653685
41.02258751466187,4.335993220805055,0.0,0.0,10.6292,24.8889,4.335993220805055
38.7096155808603,2.3129719338015704,2.039637781414574,0.0,0.0,26.7,4.352609715216144
51.65447792309352,2.0551376577667746,0.0,0.0,15.0,24.7,2.0551376577667746
53.19808610466103,2.0563918184324965,0.0,0.0,3.6,24.7,2.0563918184324965
60.59332179642003,2.704764308241,0.0,0.0,10.1,26.2,2.704764308241
57.68382056088173,2.9095012355383005,0.7810955885456043,0.0,0.0,27.3,3.690596824083905
55.01365055332547,2.6701700075562584,0.8844836163725733,0.0,0.0,27.4,3.5546536239288318
51.3257983741231,3.687852179202366,1.5162349406522093,0.0,0.0,27.9,5.2040871198545755
47.25797871725651,4.06781965686659,2.125081590142493,0.0,0.0,28.1,6.1929012470090825
44.23371248922501,3.0242662280315002,1.9358045521080873,0.0,0.0,27.7,4.960070780139588
40.94998735748214,3.2837251317428766,2.5014540773666853,0.0,0.0,28.0,5.785179209109562
37.76360467011998,3.186382687362155,2.8890449765375985,0.0,0.0,27.6,6.075427663899753
34.429962823198544,3.333641846921438,3.597753289020628,0.0,0.0,28.1,6.931395135942066
31.615357292526888,2.814605530671656,3.581709826543136,0.0,0.0,28.7,6.396315357214792
29.166202923570626,2.449154368956261,3.59827473118754,0.0,0.0,28.2,6.047429100143801
27.649611967078425,1.5165909564922018,2.4883273442285185,0.0,0.0,27.2,4.00491830072072
27.57383831696437,5.475773650114055,0.13004570003053662,0.0,5.4,29.2,5.605819350144592
25.156051050611307,2.417787266353063,4.464885490181199,0.0,0.0,27.5685,6.882672756534262
23.042446587459125,2.113604463152182,4.468429073740053,0.0,0.0,29.6,6.582033536892235
20.868917782390536,2.173528805068589,5.2572577687384285,0.0,0.0,28.3,7.430786573807017
19.81982190931641,1.0490958730741262,2.8192782098592075,0.0,0.0,27.1,3.8683740829333337
19.20071547755251,2.6191064317638997,1.7610186179892295,0.0,2.0,27.2,4.380125049753129
17.85986871560592,1.3408467619465902,4.088502097346313,0.0,0.0,27.8,5.429348859292904
16.325326365636155,1.5345423499697652,5.203349495476441,0.0,0.0,27.5,6.737891845446207
15.196842983148441,1.1284833824877136,4.243763537207263,0.0,0.0,28.4,5.372246919694977
14.609516061180086,2.187326921968355,2.368768557717521,0.0,1.6,28.5,4.556095479685876
13.506389093508107,1.1031269676719795,4.78514266222631,0.0,0.0,29.4,5.888269629898289
