ARM,ETR,Deficit,Excedente,PRECIPITACAO,TEMPERATURA
2.948176758041195e-07,2.864433973032667e-08,6.954342923488879,0.0,0.0,28.9
2.611958216303449e-07,3.362185417377459e-08,9.08150371846062,0.0,0.0,29.6
2.33432930858405e-07,0.6000000277628907,8.42816986836505,0.0,0.6,29.2
2.099996072063528e-07,2.3433323652052212e-08,7.9341855942017645,0.0,0.0,29.4
1.894987800021429e-07,2.050082720420989e-08,7.70423051085688,0.0,0.0,29.8
1.7681739311133444e-07,1.268138689080846e-08,5.194879774342217,0.0,0.0,29.2
1.7264985233710018e-07,3.800000004167541,1.7888965554942011,0.0,3.8,27.8
1.6615639935589573e-07,0.500000006493453,2.8752044162649035,0.0,0.5,26.0
3.828033743903,3.171966422253399,0.0,0.0,7.0,27.0
3.6793966218000906,0.14863712210290947,2.8215512256383066,0.0,0.0,26.1
3.3565340139026656,0.7228626078974251,6.5651283308801505,0.0,0.4,28.6
2.966692999387839,0.3898410145148268,8.869736524826306,0.0,0.0,29.6
2.6135256786148813,0.35316732077295754,9.152911659141623,0.0,0.0,29.5
2.489215755479229,0.12430992313565215,3.530623171991815,0.0,0.0,27.3
2.338389540208966,0.1508262152702633,4.537066895576029,0.0,0.0,28.8
2.4929448683594195,4.106504671849546,0.0,0.0,4.26106,25.4148
16.523840699487764,1.3170041688716574,0.0,0.0,15.3479,24.4061
18.345402912295754,2.3789077871920092,0.0,0.0,4.20047,24.9582
28.781031287915525,1.66267162438023,0.0,0.0,12.0983,24.5156
39.10494529015392,1.2662859977616012,0.0,0.0,11.5902,24.6021
40.33397205351613,1.3423632366377947,0.0,0.0,2.57139,23.8995
41.223032763551025,1.7007892899651051,0.0,0.0,2.58985,24.1746
43.51398576780957,1.8692969957414485,0.0,0.0,4.16025,24.3261
41.96391025050639,1.8457295173031847,1.1703566714500622,0.0,0.295654,24.8184
39.188702660562754,2.7752075899436335,2.3564020087654898,0.0,0.0,25.4474
36.36425377052943,2.824448890033324,2.785720232708986,0.0,0.0,26.1072
